id,first_name,received,administrator,guide_code,Country of Origin,Initial_guide_code,custom trip,trip_code,status,departure_date,duration,guide_confirmed_date,guide_availability confirmed,availability,guide_recommendation,main_activity,skill_level,destination_country,people_count,cancellation_reason,source,base_price_local_currency,price_currency,exchange_rate,payment_method
20307,Olivier,24/11/2018,,317,Switzerland,446,,644,1_cancelled,,6,30/11/2018,Affirmative,From 02-Mar-2019 to 15-Mar-2019," 
",Heliskiing,advanced,74,2,Pending - Form not filled,Organic,2390,EUR,1,
20303,Ewen,24/11/2018,,97,,360,,369,1_cancelled,,6,26/11/2018,Affirmative,From 09-Feb-2019 to 04-Apr-2019," 
",Heliskiing,intermediate,81,1,Pending - Form not filled,Unknown,3795,EUR,1,
20302,Stefan,24/11/2018,,102,Netherlands,303,Yes,#N/A,2_sold,14/12/2018,3,6/12/2018,Affirmative,From 13-Dec-2018 to 16-Dec-2018," 
",Hiking,intermediate,10,1,#NA,Organic,490,USD,0.879,Wire Transfer
20301,Begoñe,24/11/2018,,335,Spain,335,,129,1_cancelled,,28,24/11/2018,Affirmative,"From 01-Apr-2019 to 29-Apr-2019
From 01-Apr-2019 to 30-Apr-2019"," 
",Mountaineering,intermediate,154,2,Pending - Form not filled,Organic,12860,USD,0.879,
20300,,24/11/2018,,170,Switzerland,170,,224,1_cancelled,,7,25/11/2018,Affirmative,From 01-Mar-2019 to 31-May-2019," 
",Heliskiing,advanced,81,5,Pending - Form not filled,Organic,5940,EUR,1,
20295,Perry,24/11/2018,,199,Netherlands,199,,557,1_cancelled,,,25/03/2018,None,," 
",Heliskiing,,74,Unknown,Pending - Form not filled,Organic,to confirm,EUR,1,
20290,Howard,24/11/2018,,55,United Kingdom,55,,197,1_cancelled,,2,25/03/2018,None,," 
",Mountaineering,,212,Unknown,Pending - Form not filled,Organic,to confirm,CHF,0.8788,
20288,Stephen,24/11/2018,,291,United Kingdom,291,,480,1_cancelled,,3,24/11/2018,Negative,From 18-Dec-2018 to 30-Dec-2018," 
",Ice Climbing,beginner,74,4,Pending - Form not filled,Organic,to confirm,USD,0.879,
20339,David,25/11/2018,,169,United States,169,,32,2_sold,1/02/2019,1,4/12/2018,Affirmative,From 01-Feb-2019 to 01-Feb-2019," 
",Rock Climbing,intermediate,44,2,#NA,Organic,400,USD,0.879,Credit card
20282,BERTA,23/11/2018,,218,Spain,218,,494,1_cancelled,,3,24/11/2018,Affirmative,From 27-Feb-2019 to 01-Mar-2019," 
",Heliskiing,advanced,14,5,Pending - Form not filled,Organic,1275,EUR,1,
20281,Marion,23/11/2018,,175,Canada,237,Yes,#N/A,1_cancelled,,1,28/11/2018,Affirmative,From 11-Feb-2019 to 14-Feb-2019," 
",Heliskiing,advanced,110,2,Pending - Form not filled,Organic,45000,JPY,0.0077,
20275,Matt,23/11/2018,,1,United States,1,,552,1_cancelled,,1,23/11/2018,Affirmative,From 25-Nov-2018 to 25-Nov-2018," 
",Mountaineering,beginner,142,2,Pending - Form not filled,Organic,350,USD,0.879,
20274,Thomas,23/11/2018,,35,United Kingdom,35,,30,1_cancelled,,1,25/11/2018,Affirmative,From 13-Jan-2019 to 18-Jan-2019," 
",Rock Climbing,beginner,81,1,Pending - Form not filled,Organic,380,EUR,1,
20266,,23/11/2018,,282,,83,Yes,#N/A,1_cancelled,,1,5/12/2018,Affirmative,From 01-Jun-2019 to 30-Jun-2019," 
",Mountaineering,First-timer,108,1,Pending - Form not filled,Unknown,350,EUR,1,
20264,Will,23/11/2018,,297,Netherlands,297,,72,1_cancelled,,3,25/03/2018,None,From 16-Dec-2018 to 22-Dec-2018," 
",Heliskiing,advanced,38,1,Pending - Form not filled,Organic,to confirm,USD,0.879,
20260,Marianna,23/11/2018,,261,Sweden,261,,462,1_cancelled,,3,26/11/2018,Negative,From 17-Jan-2019 to 20-Jan-2019," 
",Ice Climbing,beginner,177,2,Pending - Form not filled,Organic,to confirm,NOK,0.1038,
20285,Jelly,23/11/2018,,268,Netherlands,268,,602,2_sold,30/07/2019,1,24/11/2018,Affirmative,From 30-Jul-2019 to 31-Jul-2019," 
",Rock Climbing,beginner,200,4,#NA,Organic,200,EUR,1,Credit card
20255,,23/11/2018,,83,Brazil,368,Yes,#N/A,1_cancelled,,7,26/11/2018,Affirmative,From 11-Mar-2019 to 30-Apr-2019," 
",Mountaineering,beginner,108,1,Pending - Form not filled,Organic,2100,EUR,1,
20254,Brendan,23/11/2018,,298,Australia,422,,466,1_cancelled,,1,29/11/2018,Affirmative,From 14-Dec-2018 to 14-Dec-2018," 
",Ice Climbing,intermediate,73,1,Pending - Form not filled,Unknown,250,EUR,1,
20248,Andrea,22/11/2018,,26,United States,11,Yes,#N/A,1_cancelled,,1,26/11/2018,Affirmative,From 02-Jan-2019 to 03-Jan-2019," 
",Rock Climbing,beginner,63,2,Pending - Form not filled,Organic,140,USD,0.879,
20245,Steve,22/11/2018,,262,United States,262,,419,1_cancelled,,7,23/11/2018,Affirmative,From 06-May-2019 to 18-May-2019," 
",Hiking,advanced,108,5,Pending - Form not filled,Organic,1960,EUR,1,
20244,,22/11/2018,,262,Slovakia,262,,373,1_cancelled,,2,24/11/2018,Affirmative,From 18-Aug-2019 to 28-Sep-2019," 
",Mountaineering,intermediate,108,5,Pending - Form not filled,Referral,1900,EUR,1,
20763,Lara,6/12/2018,,280,United States,280,,459,2_sold,30/01/2019,3,12/12/2018,Affirmative,From 29-Jan-2019 to 07-Feb-2019," 
",Snowshoeing,intermediate,74,2,#NA,Organic,1020,EUR,1,Credit card
20238,Murray,22/11/2018,,344,Spain,344,,529,1_cancelled,,1,25/03/2018,None,," 
",Heliskiing,,74,Unknown,Pending - Form not filled,Organic,to confirm,EUR,1,
20237,,22/11/2018,,170,Germany,170,,224,1_cancelled,,7,23/11/2018,Affirmative,From 02-Mar-2019 to 09-Mar-2019," 
",Heliskiing,advanced,81,5,Pending - Form not filled,Paid,5380,EUR,1,
20236,,22/11/2018,,88,Ecuador,88,,194,1_cancelled,,2,25/03/2018,None,," 
",Mountaineering,,63,Unknown,Pending - Form not filled,Referral,to confirm,USD,0.879,
20231,Andrey,22/11/2018,,184,,54,Yes,#N/A,1_cancelled,,1,25/11/2018,Affirmative,From 13-Apr-2019 to 15-Apr-2019," 
",Mountaineering,,110,5,Pending - Form not filled,Unknown,90000,JPY,0.0077,
20227,Allan,22/11/2018,,180,Denmark,180,,393,1_cancelled,,6,25/03/2018,None,From 03-Mar-2019 to 08-Mar-2019," 
",Heliskiing,intermediate,211,5,Pending - Form not filled,Unknown,to confirm,EUR,1,
20257,Stuart,23/11/2018,,122,Australia,122,,653,2_sold,23/12/2018,1,27/11/2018,Affirmative,From 25-Dec-2018 to 25-Dec-2018," 
",Snowshoeing,beginner,212,4,#NA,Organic,300,EUR,1,Credit card
20216,Victor,21/11/2018,,337,United Kingdom,337,,112,1_cancelled,,6,25/03/2018,None,," 
",Heliskiing,,211,Unknown,Pending - Form not filled,Unknown,to confirm,EUR,1,
20209,Sebastian,21/11/2018,,47,Denmark,47,,457,1_cancelled,,4,25/03/2018,None,From 14-Apr-2019 to 21-Apr-2019," 
",Heliskiing,advanced,74,4,Pending - Form not filled,Organic,to confirm,EUR,1,
20205,,21/11/2018,,23,,448,,133,1_cancelled,,,25/03/2018,None,," 
",Mountaineering,,,Unknown,Pending - Form not filled,Unknown,to confirm,USD,0.879,
20200,Carmen,21/11/2018,,13,Spain,13,,539,1_cancelled,,9,22/11/2018,Affirmative,From 12-Apr-2019 to 28-Apr-2019," 
",Mountaineering,intermediate,119,4,Pending - Form not filled,Organic,1600,EUR,1,
20196,Laurie,21/11/2018,,234,Kenya,295,Yes,#N/A,1_cancelled,,1,21/11/2018,None,From 26-Dec-2018 to 28-Dec-2018," 
",Mountaineering,intermediate,205,1,Pending - Form not filled,Organic,to confirm,EUR,1,
20190,Chiara,21/11/2018,,215,Italy,215,,122,1_cancelled,,3,21/11/2018,Negative,," 
",Heliskiing,,108,Unknown,Pending - Form not filled,Referral,to confirm,EUR,1,
20186,Laura,21/11/2018,,216,Germany,216,,709,1_cancelled,,1,22/11/2018,Affirmative,From 01-Dec-2018 to 23-Dec-2018," 
",Hiking,intermediate,200,1,Pending - Form not filled,Organic,120,EUR,1,
20179,hannah,21/11/2018,,139,United States,139,,88,1_cancelled,,3,21/11/2018,Affirmative,From 03-Apr-2019 to 06-Apr-2019," 
",Rock Climbing,intermediate,84,1,Pending - Form not filled,Organic,400,EUR,1,
20175,Julia,21/11/2018,,153,Switzerland,449,Yes,#N/A,1_cancelled,,1,26/11/2018,Affirmative,From 31-Dec-2018 to 04-Jan-2019," 
",Mountaineering,intermediate,38,5,Pending - Form not filled,Unknown,430,CAD,0.667,
20174,Kevin,21/11/2018,,342,,342,,613,1_cancelled,,1,21/11/2018,Affirmative,From 02-Jan-2019 to 03-Jan-2019," 
",Mountaineering,intermediate,44,5,Pending - Form not filled,Unknown,950,USD,0.879,
20171,Remco,20/11/2018,,288,Netherlands,288,,49,2_sold,31/05/2019,2,21/12/2018,Affirmative,From 03-May-2019 to 31-May-2019," 
",Mountaineering,intermediate,205,3,#NA,Unknown,1299.99,EUR,1,Wire Transfer
20170,Darcy,20/11/2018,,154,Canada,450,,174,1_cancelled,,3,25/11/2018,Affirmative,From 13-Jun-2019 to 15-Jun-2019," 
",Hiking,intermediate,26,2,Pending - Form not filled,Organic,312,USD,0.879,
20168,martin,20/11/2018,,280,United Kingdom,280,,459,1_cancelled,,2,21/11/2018,Affirmative,From 08-Mar-2019 to 09-Mar-2019," 
",Snowshoeing,intermediate,74,2,Pending - Form not filled,Organic,960,EUR,1,
20757,David,6/12/2018,,278,,278,,689,2_sold,26/12/2018,1,10/12/2018,Affirmative,From 27-Dec-2018 to 27-Dec-2018," 
",Via Ferrata,intermediate,205,3,#NA,Unknown,135,EUR,1,Credit card
20164,Maud,20/11/2018,,26,Netherlands,26,Yes,548,1_cancelled,,2,20/11/2018,Affirmative,From 01-Dec-2018 to 04-Dec-2018," 
",Rock Climbing,intermediate,63,1,Pending - Form not filled,Organic,140,USD,0.879,
20161,Veronica,20/11/2018,,287,,287,,522,1_cancelled,,3,25/03/2018,None,," 
",Mountaineering,,74,Unknown,Pending - Form not filled,Unknown,to confirm,EUR,1,
20159,Tze,20/11/2018,,54,Brunei Darussalam,362,,18,2_sold,5/01/2019,1,1/12/2018,Affirmative,From 04-Jan-2019 to 05-Jan-2019," 
",Ice Climbing,beginner,110,1,#NA,Organic,45000,JPY,0.0077,Wire Transfer
20156,Gina,20/11/2018,,90,Switzerland,90,,511,1_cancelled,,1,22/11/2018,Affirmative,From 28-May-2019 to 30-May-2019," 
",Hiking,intermediate,74,4,Pending - Form not filled,Unknown,260,EUR,1,
20149,Joe,20/11/2018,,173,,173,,397,1_cancelled,,3,25/03/2018,None,," 
",Mountaineering,,63,Unknown,Pending - Form not filled,Unknown,to confirm,USD,0.879,
